"[10, 40, 52, 30, 31, 15, 61, 26, 37, 29]",1
"[12, 18, 60, 24, 23, 46, 21, 4, 78, 68]",1
"[52, 84, 96, 43, 29, 72, 2, 26, 93, 53]",0
"[94, 9, 88, 9, 2, 30, 15, 72, 24, 22]",1
"[0, 21, 5, 72, 13, 88, 46, 74, 48, 0]",1
"[29, 78, 29, 74, 72, 17, 50, 10, 75, 66]",1
"[67, 80, 36, 49, 13, 91, 75, 80, 41, 20]",1
"[51, 24, 8, 45, 35, 87, 52, 17, 58, 47]",1
"[1, 83, 82, 57, 30, 2, 38, 11, 22, 90]",1
"[86, 18, 34, 81, 16, 20, 66, 25, 98, 5]",1
"[32, 86, 57, 80, 77, 0, 56, 96, 71, 54]",1
"[26, 30, 76, 21, 36, 13, 11, 44, 72, 67]",1
"[29, 94, 93, 48, 12, 41, 82, 67, 28, 62]",0
"[67, 85, 88, 10, 51, 57, 59, 65, 54, 12]",1
"[45, 10, 98, 89, 93, 47, 34, 8, 21, 88]",0
"[9, 75, 97, 2, 78, 17, 97, 7, 26, 49]",0
"[36, 89, 81, 75, 64, 40, 63, 11, 33, 17]",1
"[80, 32, 82, 81, 60, 81, 49, 94, 88, 52]",1
"[64, 94, 94, 82, 85, 42, 3, 82, 95, 89]",1
"[10, 74, 19, 55, 33, 92, 4, 52, 53, 66]",0
"[49, 14, 61, 44, 28, 60, 46, 24, 10, 66]",1
"[81, 97, 10, 84, 97, 4, 57, 54, 37, 47]",1
"[52, 60, 52, 59, 16, 23, 45, 86, 86, 38]",1
"[19, 98, 74, 49, 44, 79, 51, 85, 17, 90]",0
"[87, 9, 43, 51, 49, 17, 34, 54, 80, 50]",1
"[63, 86, 17, 28, 39, 46, 38, 6, 86, 16]",1
"[86, 5, 19, 53, 13, 2, 77, 95, 69, 8]",1
"[78, 48, 3, 76, 72, 42, 52, 72, 55, 79]",1
"[75, 38, 29, 25, 70, 88, 81, 36, 99, 72]",1
"[51, 26, 52, 19, 59, 85, 57, 27, 57, 16]",1
"[87, 72, 20, 28, 11, 4, 44, 56, 62, 12]",1
"[67, 90, 92, 81, 15, 29, 91, 40, 57, 77]",0
"[76, 52, 98, 52, 13, 48, 78, 89, 43, 28]",0
"[34, 26, 6, 81, 9, 62, 30, 70, 44, 63]",1
"[50, 68, 52, 30, 61, 25, 54, 44, 60, 20]",1
"[24, 83, 71, 80, 94, 97, 41, 32, 14, 71]",1
"[9, 80, 24, 38, 82, 83, 98, 81, 13, 26]",1
"[71, 84, 43, 57, 97, 45, 29, 21, 0, 29]",1
"[17, 73, 2, 53, 24, 47, 78, 88, 41, 15]",1
"[46, 19, 6, 69, 81, 63, 96, 61, 54, 31]",1
"[42, 23, 71, 45, 33, 48, 33, 71, 24, 92]",0
"[20, 18, 56, 29, 7, 73, 32, 11, 21, 90]",0
"[0, 89, 53, 78, 81, 80, 67, 5, 41, 65]",1
"[26, 66, 13, 57, 44, 69, 11, 9, 21, 55]",1
"[99, 24, 23, 80, 21, 81, 99, 6, 55, 2]",1
"[86, 15, 87, 81, 42, 36, 57, 68, 50, 96]",1
