"[61, 93, 97, 41, 31, 45, 55, 34, 16, 0]",0
"[5, 10, 75, 22, 9, 29, 47, 11, 88, 14]",1
"[57, 2, 78, 47, 81, 4, 47, 25, 6, 98]",1
"[6, 41, 41, 70, 55, 77, 28, 84, 8, 60]",1
"[42, 56, 71, 21, 46, 10, 84, 48, 39, 63]",1
"[26, 24, 97, 52, 82, 2, 43, 4, 19, 57]",0
"[30, 72, 7, 90, 58, 34, 71, 97, 98, 46]",0
"[86, 38, 39, 48, 3, 69, 36, 58, 2, 96]",1
"[41, 45, 50, 29, 41, 63, 30, 65, 16, 54]",1
"[82, 88, 83, 30, 86, 22, 91, 90, 70, 30]",1
"[68, 12, 7, 18, 5, 92, 4, 13, 51, 76]",0
"[32, 43, 19, 11, 38, 54, 93, 72, 19, 85]",0
"[54, 46, 54, 5, 13, 25, 7, 12, 97, 89]",0
"[9, 15, 90, 1, 92, 46, 67, 83, 10, 84]",0
"[21, 65, 88, 76, 44, 92, 63, 22, 84, 7]",1
"[72, 16, 10, 84, 37, 48, 29, 21, 61, 42]",1
"[90, 62, 64, 9, 22, 91, 86, 86, 70, 53]",0
"[21, 15, 10, 50, 17, 5, 17, 1, 39, 98]",0
"[24, 77, 63, 74, 70, 42, 55, 39, 67, 44]",1
"[17, 73, 81, 93, 11, 48, 25, 7, 2, 55]",1
"[71, 57, 10, 65, 70, 34, 9, 45, 78, 29]",1
"[27, 33, 90, 90, 5, 5, 42, 39, 30, 52]",0
"[81, 68, 74, 67, 56, 86, 83, 25, 81, 46]",1
"[59, 78, 46, 65, 56, 0, 4, 30, 5, 13]",1
"[87, 78, 66, 90, 21, 43, 87, 59, 85, 28]",1
"[85, 56, 97, 94, 73, 27, 60, 40, 64, 90]",1
"[9, 65, 28, 25, 34, 34, 86, 32, 66, 29]",1
"[7, 9, 64, 81, 51, 81, 31, 90, 38, 11]",1
"[25, 23, 14, 24, 76, 21, 9, 22, 22, 48]",1
"[71, 76, 78, 18, 42, 46, 86, 82, 44, 92]",1
"[35, 78, 4, 57, 50, 13, 93, 21, 54, 5]",0
"[52, 27, 70, 28, 79, 52, 67, 17, 2, 70]",1
"[8, 76, 32, 61, 71, 58, 34, 97, 53, 40]",0
"[13, 87, 37, 62, 86, 0, 43, 56, 11, 58]",1
"[56, 8, 66, 83, 19, 48, 96, 94, 93, 96]",1
"[46, 8, 38, 50, 55, 63, 74, 82, 56, 70]",1
"[39, 23, 68, 2, 92, 36, 18, 20, 44, 29]",0
"[18, 16, 65, 31, 94, 87, 42, 86, 85, 9]",0
"[31, 13, 15, 39, 44, 71, 88, 25, 96, 62]",1
"[48, 15, 68, 91, 14, 24, 77, 85, 28, 16]",0
"[81, 21, 68, 34, 37, 10, 50, 76, 26, 14]",1
"[82, 55, 30, 83, 49, 40, 37, 79, 3, 39]",1
"[87, 70, 20, 91, 46, 57, 11, 92, 45, 9]",1
"[57, 3, 67, 46, 81, 84, 21, 27, 55, 25]",1
"[96, 40, 54, 34, 75, 25, 2, 94, 87, 9]",0
"[96, 36, 74, 18, 34, 4, 86, 42, 70, 40]",0
"[38, 74, 99, 2, 19, 58, 38, 16, 35, 93]",0
"[30, 87, 15, 30, 74, 58, 21, 87, 27, 82]",1
"[55, 49, 66, 79, 35, 88, 55, 52, 0, 90]",1
"[29, 71, 41, 19, 66, 72, 75, 52, 75, 66]",1
"[37, 78, 91, 31, 38, 82, 16, 50, 97, 16]",0
"[79, 88, 78, 81, 15, 75, 10, 7, 2, 23]",1
"[77, 35, 23, 69, 81, 77, 68, 16, 33, 4]",1
"[43, 80, 8, 37, 65, 89, 46, 28, 62, 34]",1
"[45, 97, 98, 60, 49, 12, 23, 3, 22, 96]",0
"[70, 51, 33, 29, 77, 77, 39, 41, 13, 57]",1
"[34, 87, 93, 59, 50, 44, 74, 79, 5, 90]",1
"[67, 12, 74, 97, 57, 91, 61, 54, 90, 55]",0
"[89, 72, 14, 10, 50, 70, 90, 74, 20, 10]",1
